Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Enter your unique MTurk Worker ID number ,,,,,,,,,,Do you take nutritional supplements?,,"Following up to the previous question, why do or don't you take nutritional supplements? ",What's the most likely avenue for you to learn about nutrition? ,,,,,,Have you heard of Moringa Oleifera? ,,Where do you normally search for your supplements? ,,,,How likely are you to try a supplement if you read about it in the news? ,,,,,,,What do you look for in a nutritional supplement? (check all that apply),,,,,What is your gender?,
10790291424,236726203,06/11/2019 10:40:48 AM,06/11/2019 10:41:55 AM,141.126.132.106,,,,,A1ONILGBGJ8Y5K,,,,,,,,,,,No,I've read that they don't do anything for you,,,,,Online news,,,No,,Online,,,,,,,,Unlikely,,,,,,,,Male
10790054347,236726203,06/11/2019 09:15:29 AM,06/11/2019 09:16:43 AM,107.77.205.155,,,,,A2H18EYM79ZRCW,,,,,,,,,,Yes,,to maintain a well balanced vitamin diet ,,Social Media,,,,,Yes,,,,Word of mouth,,,,Somewhat likely,,,,,Organic certification,,Dosage,Brand,Price,Female,
10789957223,236726203,06/11/2019 08:36:19 AM,06/11/2019 08:37:34 AM,172.76.150.160,,,,,A3DS5B06ZCD3E3,,,,,,,,,,Yes,,To cover up for my poor eating habits mostly.,,,Searching Online,,,,,No,In-store,,,,,,,Neither likely nor unlikely,,,,,,Dosage,,Price,,Male
10789872715,236726203,06/11/2019 07:59:40 AM,06/11/2019 08:01:12 AM,174.97.198.32,,,,,A1OQIXAU1SEJ4P,,,,,,,,,,Yes,,I take a vitamin D supplement because my level has got dangerously low before and I want to make sure it's okay.,,,Searching Online,,,,,No,,Online,,,,,,,Somewhat unlikely,,,,,Dosage,Brand,Price,Female,
10789854398,236726203,06/11/2019 07:50:55 AM,06/11/2019 07:52:26 AM,71.69.90.53,,,,,AUZBKS5UI3MXB,,,,,,,,,,,No,I don't think I really need them,,,Searching Online,,,,,No,,Online,,,,,,,,Unlikely,,,,Dosage,Brand,Price,,Male
10789341897,236726203,06/11/2019 01:48:27 AM,06/11/2019 01:49:21 AM,173.169.135.144,,,,,A9WGDBDXUNLOD,,,,,,,,,,,No,"I should, but never to remember to take them when I get them.",,,,,,Your Doctor,,No,In-store,,,,,,Somewhat likely,,,,,,,,Brand,Price,,Male
10789326786,236726203,06/11/2019 01:31:11 AM,06/11/2019 01:32:50 AM,136.179.21.80,,,,,A3169N2SCN3ENK,,,,,,,,,,Yes,,I take them to maintain my health and be proactive about my well-being.,,Social Media,,,,,,No,,Online,,,,Likely,,,,,,,,,Brand,Price,,Male
10789323742,236726203,06/11/2019 01:26:48 AM,06/11/2019 01:30:02 AM,50.39.196.58,,,,,ARJ6SPCZJVARE,,,,,,,,,,Yes,,because i believe you can ingest things that will improve my performance.,,,Searching Online,,,,,No,,Online,,,,,,,Somewhat unlikely,,,,,,,Price,,Male
10789323285,236726203,06/11/2019 01:27:13 AM,06/11/2019 01:28:55 AM,136.32.29.150,,,,,A1G9ZIBMV5PLE2,,,,,,,,,,Yes,,To get what I miss in vitamins daily. ,,,,,,Your Doctor,,No,,Online,,,,,Somewhat likely,,,,,,,Dosage,,Price,Female,
10789282739,236726203,06/11/2019 12:42:28 AM,06/11/2019 12:45:43 AM,99.21.65.32,,,,,A1CHC8M7CWC254,,,,,,,,,,,No,to get sufficient nutrients,,,Searching Online,,,,,No,,Online,,,,,Somewhat likely,,,,,,,,Brand,Price,,Male
10789115825,236726203,06/10/2019 10:11:01 PM,06/10/2019 10:12:23 PM,67.149.225.96,,,,,A2APPZDU0VS9LN,,,,,,,,,,Yes,,I like to make sure I get vitamins,,,Searching Online,,,,,No,In-store,,,,,,,Neither likely nor unlikely,,,,,,,,Price,Female,
10789102835,236726203,06/10/2019 10:00:53 PM,06/10/2019 10:02:23 PM,98.4.167.250,,,,,A1zo0XPK52VETL,,,,,,,,,,,No,I think I need to educate myself more about them.,,,Searching Online,,,,,No,,Online,,,,,,Neither likely nor unlikely,,,,Organic certification,,,Brand,Price,Female,
10789038888,236726203,06/10/2019 09:15:29 PM,06/10/2019 09:16:00 PM,96.32.30.254,,,,,AUK4KGOJP9F0H,,,,,,,,,,Yes,,I take B-12 because I eat a plant based diet.,,,Searching Online,,,,,No,,Online,,,,,,,Somewhat unlikely,,,Organic certification,Vegan capsule,Dosage,Brand,Price,Female,
10788990529,236726203,06/10/2019 08:40:39 PM,06/10/2019 08:42:13 PM,23.125.192.243,,,,,ABQ65VUI4C9RK,,,,,,,,,,Yes,,I take multi vitamins because I know I have poor eating habits and possibly they might help my health some.,,,Searching Online,,,,,No,,Online,,,,,,,Somewhat unlikely,,,Organic certification,,Dosage,Brand,Price,,Male
10788953905,236726203,06/10/2019 08:15:48 PM,06/10/2019 08:16:48 PM,172.90.99.230,,,,,A3B58QWMTBXVE0,,,,,,,,,,Yes,,To make sure I have all nutrients and the best health possible.,,,Searching Online,,,,Yes,,,Online,,,,,,Neither likely nor unlikely,,,,Organic certification,,Dosage,Brand,Price,Female,
10788900107,236726203,06/10/2019 07:39:58 PM,06/10/2019 07:41:36 PM,75.134.114.123,,,,,A366JCV00ETS7V,,,,,,,,,,Yes,,I know that I don't get enough nutrients and vitamins from my diet alone. It makes me feel like I am being healthy,,,Searching Online,,,,,No,,Online,,,,,,Neither likely nor unlikely,,,,,,,Brand,Price,Female,
10788895816,236726203,06/10/2019 07:36:54 PM,06/10/2019 07:38:59 PM,148.74.67.218,,,,,A1V2M2C00I5SWW,,,,,,,,,,,No,"I used to when I was exercising regularly, but since I stopped running I don't feel like I need so much vitamins and protein and supplements.",,,Searching Online,,,,,No,,Online,,,,,Somewhat likely,,,,,,,Dosage,,Price,,Male
10788890399,236726203,06/10/2019 07:34:01 PM,06/10/2019 07:35:35 PM,173.94.144.4,,,,,A10BH9PYCYUKDJ,,,,,,,,,,Yes,,I hope that they improve my daily nutrition. ,,,Searching Online,,,,,No,,Online,,,,,,Neither likely nor unlikely,,,,,,Dosage,,,Female,
10788816951,236726203,06/10/2019 06:46:45 PM,06/10/2019 06:51:53 PM,68.47.84.142,,,,,AS9E0S6DBSWH7,,,,,,,,,,Yes,,I think they can help me get some nutrients that I don't get enough of with my diet.,,,Searching Online,,,,,No,,Online,,,,,,,Somewhat unlikely,,,,,,Brand,Price,,Male
10788748035,236726203,06/10/2019 06:10:24 PM,06/10/2019 06:11:32 PM,35.136.203.110,,,,,A1R0689JPSQ3OF,,,,,,,,,,,No,I don't have the extra money for it.,,,Searching Online,,,,,No,,Online,,,,,,Neither likely nor unlikely,,,,,,,,Price,,Male
10788711879,236726203,06/10/2019 05:51:08 PM,06/10/2019 05:52:01 PM,68.14.181.125,,,,,A1VVEQOIHSSHX0,,,,,,,,,,,No,I don't feel like they are needed.,,,,,Online news,,,No,,Online,,,,,,,,Unlikely,,,,Dosage,,Price,,Male
10788711480,236726203,06/10/2019 05:51:19 PM,06/10/2019 05:51:48 PM,136.33.33.215,,,,,A23JA6ICO4BPQ5,,,,,,,,,,,No,"Don't see the  need, try to eat healthy.",,,Searching Online,,,,,No,,,Word of mouth,,,,,,,,Very unlikely,,,,,,,Male
10788698979,236726203,06/10/2019 05:44:24 PM,06/10/2019 05:45:08 PM,162.250.82.237,,,,,A2M59R65OZRNNX,,,,,,,,,,Yes,,I take them to better my health.,,Social Media,,,,,,No,,,Word of mouth,,,,,Neither likely nor unlikely,,,,,,,,Price,Female,
10788682298,236726203,06/10/2019 05:34:34 PM,06/10/2019 05:36:21 PM,98.148.74.247,,,,,A1KFK92GEFQ9F5,,,,,,,,,,Yes,,it is beneficial to the body to take supplements i like to take protein supplement when i finish exercising  i take it since is healthy for us ,,,Searching Online,,,,,No,,Online,,,,,Somewhat likely,,,,,Organic certification,,,Brand,Price,,Male
10788658756,236726203,06/10/2019 05:12:52 PM,06/10/2019 05:24:53 PM,173.115.79.209,,,,,A1V6CP5I0TOSAR,,,,,,,,,,Yes,,I take them to stay healthy.,,Social Media,,,,,,No,,Online,,,,,,Neither likely nor unlikely,,,,Organic certification,,Dosage,Brand,Price,Female,
10788538239,236726203,06/10/2019 04:28:17 PM,06/10/2019 04:29:43 PM,74.222.103.164,,,,,A2S8ZTPKX3B928,,,,,,,,,,Yes,,poor diet ,,,Searching Online,,,,,No,,Online,,,,,,,,,Very unlikely,,,,,Price,Female,
10788383370,236726203,06/10/2019 03:23:08 PM,06/10/2019 03:24:55 PM,70.126.66.4,,,,,A2KLDW5VRXUJ8S,,,,,,,,,,Yes,,I don't think I get enough balanced nutrition through my food,Word of mouth,,,,,,,No,,Online,,,,Likely,,,,,,Organic certification,,Dosage,Brand,,Female,
10788325203,236726203,06/10/2019 02:58:03 PM,06/10/2019 03:00:59 PM,69.135.14.118,,,,,A32CMQGGTSUK6Z,,,,,,,,,,Yes,,"build muscle, convenience of use",,,Searching Online,,,,,No,,Online,,,,,,Neither likely nor unlikely,,,,,,Dosage,Brand,Price,,Male
10788215909,236726203,06/10/2019 02:14:16 PM,06/10/2019 02:16:32 PM,173.88.8.208,,,,,AVOF14300525D,,,,,,,,,,,No,I don't take them because I feel like I get adequate nutrition from the food that I eat. ,,,,TV,,,,No,In-store,,,,,,,,,,Very unlikely,,,Dosage,Brand,Price,Female,
10788070609,236726203,06/10/2019 01:17:25 PM,06/10/2019 01:18:41 PM,32.208.30.26,,,,,A2DC7EBSBUVUQ,,,,,,,,,,Yes,,Doctors advice,,,Searching Online,,,,,No,,Online,,,,,,,Somewhat unlikely,,,,,,,Price,,Male
10788069328,236726203,06/10/2019 01:16:53 PM,06/10/2019 01:18:10 PM,24.131.146.76,,,,,A3V9JFVZQ2XF4Y,,,,,,,,,,,No,They tend to be more expensive than simply eating healthy food like leafy green vegetables.,Word of mouth,,,,,,,No,,Online,,,,,,,,,Very unlikely,,,,,Price,,Male
10787978327,236726203,06/10/2019 12:41:46 PM,06/10/2019 12:42:21 PM,8.28.180.9,,,,,A3MS21UJPMHLK0,,,,,,,,,,,No,I don't think i need them.,,,Searching Online,,,,,No,,Online,,,,,Somewhat likely,,,,,,Vegan capsule,Dosage,Brand,Price,Female,
10787974895,236726203,06/10/2019 12:39:56 PM,06/10/2019 12:41:03 PM,104.63.94.49,,,,,AHV4U78TUUDKI,,,,,,,,,,Yes,,to supplement my health and to make sure I get all the vitamins and nutrients I need ,,,,,,Your Doctor,,No,In-store,,,,,,Somewhat likely,,,,,,,Dosage,Brand,Price,,Male
10787971905,236726203,06/10/2019 12:38:57 PM,06/10/2019 12:39:50 PM,4.16.169.2,,,,,A257UIPAZR9NTN,,,,,,,,,,Yes,,I believe it helps me be healthier by obtaining enough of my daily recommended vitamins.,,,Searching Online,,,,,No,,Online,,,,,,Neither likely nor unlikely,,,,,,Dosage,,Price,,Male
10787971404,236726203,06/10/2019 12:37:42 PM,06/10/2019 12:39:39 PM,75.134.69.140,,,,,A3RQJM16UBTZKK,,,,,,,,,,Yes,,I take for health reasons,,,Searching Online,,,,Yes,,,Online,,,Very likely,,,,,,,,,Dosage,,Price,,Male
10787943376,236726203,06/10/2019 12:27:10 PM,06/10/2019 12:28:31 PM,24.158.191.7,,,,,A35ARURSRU6UAZ,,,,,,,,,,Yes,,My doctor recommended I do so for a genetic liver/heart problem.,,,,,,Your Doctor,,No,In-store,,,,,,,,,Unlikely,,Organic certification,,Dosage,Brand,Price,Female,
10787898932,236726203,06/10/2019 12:10:49 PM,06/10/2019 12:11:07 PM,76.244.36.128,,,,,A34D4IVRN933FJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
10787897809,236726203,06/10/2019 12:09:41 PM,06/10/2019 12:10:36 PM,76.244.36.128,,,,,A34D4IVRN933FJ,,,,,,,,,,Yes,,I like to try different supplements to see if they have any effect. If I don't notice anything I stop taking them. ,,,Searching Online,,,,,No,,Online,,,,,Somewhat likely,,,,,,,Dosage,,Price,,Male
10787889265,236726203,06/10/2019 12:06:11 PM,06/10/2019 12:07:18 PM,24.167.164.38,,,,,A219VCQZADQ45W,,,,,,,,,,Yes,,"TO IMPROVE HEALTH, PREVENT DISEASE",,,Searching Online,,,,Yes,,,Online,,,,,,Neither likely nor unlikely,,,,Organic certification,,,,,Female,
10787849428,236726203,06/10/2019 11:51:25 AM,06/10/2019 11:52:35 AM,146.115.18.186,,,,,A3P2LT53J1GUBG,,,,,,,,,,,No,"I do not take supplements because I do not believe they really do anything. I think it is just a big fake industry. I believe in eating healthy, especially lots of vegetables and herbs.",,,Searching Online,,,,,No,,,,I grow my nutrients myself,,,,,,Unlikely,,,,,,Price,,Male
10787846045,236726203,06/10/2019 11:50:34 AM,06/10/2019 11:51:23 AM,47.13.104.62,,,,,A3IH4TNZSWEZWG,,,,,,,,,,Yes,,I take them to stay healthy.,Word of mouth,,,,,,,No,,Online,,,,,,Neither likely nor unlikely,,,,,,,Brand,Price,,Male
10787821060,236726203,06/10/2019 11:41:21 AM,06/10/2019 11:42:27 AM,75.55.154.34,,,,,A22KRF782ELLB0,,,,,,,,,,,No,"I don't feel like I need to take them, and I am also not really certain taking supplements will actually help me that much.",,,Searching Online,,,,,No,,Online,,,,,,,,Unlikely,,,,,,Price,,Male
10787813993,236726203,06/10/2019 11:39:30 AM,06/10/2019 11:39:55 AM,199.116.118.154,,,,,a2h4hydu6ffamq,,,,,,,,,,,No,expensive,,,,,Online news,,,No,,Online,,,,,,Neither likely nor unlikely,,,,,,,,Price,,Male
10787811462,236726203,06/10/2019 11:37:56 AM,06/10/2019 11:39:02 AM,24.91.185.182,,,,,AMWIBULQ4S8K3,,,,,,,,,,Yes,,I take them because I am a vegetarian. I find they are the easiest way to keep up my Iron and Vitamin B levels.,,,Searching Online,,,,,No,In-store,,,,,,,Neither likely nor unlikely,,,,,Vegan capsule,,,Price,,Male
10787801008,236726203,06/10/2019 11:33:56 AM,06/10/2019 11:35:40 AM,24.112.189.233,,,,,A1XHFQKX09Y1RD,,,,,,,,,,,No,I eat well and don't need them.,,,,,,Your Doctor,,No,,Online,,,,,,,Somewhat unlikely,,,,,,,Price,Female,
10787749052,236726203,06/10/2019 11:16:23 AM,06/10/2019 11:17:17 AM,216.166.20.1,,,,,AMX5R6NLYNA2K,,,,,,,,,,Yes,,To make sure I am getting all of the nutrients that I need to be healthy,,,Searching Online,,,,,No,,Online,,,,,,Neither likely nor unlikely,,,,,,Dosage,Brand,Price,,Male
10787743369,236726203,06/10/2019 11:13:52 AM,06/10/2019 11:15:22 AM,104.187.45.183,,,,,AQJWO4YPR3LUQ,,,,,,,,,,Yes,,I take nutritional supplements to aid my diet and what I might be deficient in,,Social Media,,,,,,No,,Online,,,Very likely,,,,,,,,,Dosage,,Price,Female,
10787737857,236726203,06/10/2019 11:12:53 AM,06/10/2019 11:13:32 AM,100.7.58.210,,,,,A3N7R7P9HP2YB6,,,,,,,,,,Yes,,To make sure I get enough vitamin D.,,,Searching Online,,,,,No,,Online,,,,,,,Somewhat unlikely,,,,,Dosage,,Price,,Male
10787687479,236726203,06/10/2019 10:55:06 AM,06/10/2019 10:56:09 AM,100.12.206.157,,,,,AKSJ3C5O3V9RB,,,,,,,,,,Yes,,I take them to enhance cognition,,,Searching Online,,,,,No,,Online,,,,Likely,,,,,,Organic certification,,,Brand,Price,Female,
10787685738,236726203,06/10/2019 10:54:44 AM,06/10/2019 10:55:33 AM,173.244.44.86,,,,,A38DC3BG1ZCVZ2,,,,,,,,,,,No,don't think i needthem,,,,,Online news,,,No,,Online,,,,,,,Somewhat unlikely,,,,,,Brand,Price,Female,
10787684584,236726203,06/10/2019 10:53:26 AM,06/10/2019 10:55:39 AM,68.63.164.6,,,,,A2UO3QJZNC2VOE,,,,,,,,,,,No,I like natural ways,,,Searching Online,,,,,No,,,Word of mouth,,,,,Neither likely nor unlikely,,,,,,,Brand,,,Male
